Time Stamp, Noise Level, Humidity, Temperature (*C)
2/21 18:53:5,25.46,38.00,18.00
2/21 18:53:6,24.81,38.00,18.00
2/21 18:53:8,25.78,38.00,18.00
2/21 18:53:9,25.78,38.00,18.00
2/21 18:53:10,24.81,38.00,18.00
2/21 18:53:11,25.46,38.00,18.00
2/21 18:53:13,25.46,37.00,19.00
2/21 18:53:14,24.49,37.00,19.00
2/21 18:53:15,24.49,38.00,18.00
2/21 18:53:16,25.14,38.00,18.00
2/21 18:53:17,25.14,38.00,18.00
2/21 18:53:18,24.81,38.00,18.00
2/21 18:53:20,25.14,38.00,18.00
2/21 18:53:21,25.46,38.00,18.00
2/21 18:53:22,23.85,38.00,18.00
2/21 18:53:23,25.14,38.00,18.00
2/21 18:53:24,24.81,38.00,18.00
2/21 18:53:25,25.46,38.00,18.00
2/21 18:53:27,24.81,38.00,18.00
2/21 18:53:28,25.14,38.00,18.00
2/21 18:53:29,24.17,38.00,18.00
2/21 18:53:30,24.81,38.00,18.00
2/21 18:53:31,24.17,38.00,18.00
2/21 18:53:32,24.81,38.00,18.00
2/21 18:53:34,24.17,38.00,18.00
2/21 18:53:35,24.81,38.00,18.00
2/21 18:53:36,25.46,38.00,18.00
2/21 18:53:37,25.14,38.00,18.00
2/21 18:53:38,25.46,38.00,18.00
2/21 18:53:39,25.46,38.00,18.00
2/21 18:53:40,25.78,38.00,18.00
2/21 18:53:41,25.14,38.00,18.00
2/21 18:53:42,25.78,38.00,18.00
2/21 18:53:43,24.81,38.00,18.00
2/21 18:53:44,25.14,38.00,18.00
2/21 18:53:47,24.49,38.00,18.00
2/21 18:53:48,25.14,38.00,18.00
2/21 18:53:49,25.78,38.00,18.00
2/21 18:53:50,25.46,38.00,18.00
2/21 18:53:51,25.46,38.00,18.00
2/21 18:53:52,25.14,38.00,18.00
2/21 18:53:54,25.46,38.00,18.00
2/21 18:53:55,24.49,38.00,18.00
2/21 18:53:56,25.46,38.00,18.00
2/21 18:53:57,25.46,38.00,18.00
2/21 18:53:58,25.46,38.00,18.00
2/21 18:53:59,25.78,38.00,18.00
2/21 18:54:1,25.78,38.00,18.00
2/21 18:54:2,25.14,38.00,18.00
2/21 18:54:3,24.81,38.00,18.00
2/21 18:54:4,25.14,38.00,18.00
2/21 18:54:6,24.81,38.00,18.00
2/21 18:54:7,25.46,38.00,18.00
2/21 18:54:8,25.14,38.00,18.00
2/21 18:54:9,25.46,38.00,18.00
2/21 18:54:10,25.46,38.00,18.00
2/21 18:54:11,25.14,38.00,18.00
2/21 18:54:13,25.14,38.00,18.00
2/21 18:54:14,24.81,38.00,18.00
2/21 18:54:15,25.46,38.00,18.00
2/21 18:54:16,25.78,38.00,18.00
2/21 18:54:17,25.14,38.00,18.00
2/21 18:54:18,25.14,38.00,18.00
2/21 18:54:20,25.46,38.00,18.00
2/21 18:54:21,25.46,38.00,18.00
2/21 18:54:22,24.49,38.00,18.00
2/21 18:54:23,24.17,38.00,18.00
2/21 18:54:24,25.14,38.00,18.00
2/21 18:54:25,25.78,38.00,18.00
2/21 18:54:27,25.14,38.00,18.00
2/21 18:54:28,25.46,38.00,18.00
2/21 18:54:29,24.81,38.00,18.00
2/21 18:54:30,24.81,38.00,18.00
